sentence,token,position,token_type,analysis_type,pos,dep,full_source_entropy_bits,full_source_surprisal_bits,full_source_topk_entropy_k5_bits,full_source_topk_mass_k5,full_source_entmax_entropy_bits,full_source_entmax_surprisal_bits,full_source_entmax_topk_entropy_k5_bits,full_source_entmax_topk_mass_k5,full_source_entmax_branching_choices,full_bigram_source_entropy_bits,full_bigram_source_surprisal_bits,full_bigram_source_topk_entropy_k5_bits,full_bigram_source_topk_mass_k5,full_bigram_source_entmax_entropy_bits,full_bigram_source_entmax_surprisal_bits,full_bigram_source_entmax_topk_entropy_k5_bits,full_bigram_source_entmax_topk_mass_k5,full_bigram_source_entmax_branching_choices,candidate_idx,target_sentence,full_target_entropy_bits,full_target_surprisal_bits,full_target_topk_entropy_k5_bits,full_target_topk_mass_k5,full_target_entmax_entropy_bits,full_target_entmax_surprisal_bits,full_target_entmax_topk_entropy_k5_bits,full_target_entmax_topk_mass_k5,full_target_entmax_branching_choices,full_bigram_target_entropy_bits,full_bigram_target_surprisal_bits,full_bigram_target_topk_entropy_k5_bits,full_bigram_target_topk_mass_k5,full_bigram_target_entmax_entropy_bits,full_bigram_target_entmax_surprisal_bits,full_bigram_target_entmax_topk_entropy_k5_bits,full_bigram_target_entmax_topk_mass_k5,full_bigram_target_entmax_branching_choices
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,pl_PL,0,source,full,SPECIAL,SPECIAL,,-0.0,,1.0,-0.0,-0.0,-0.0,1.0,1.0,11.61526107788086,19.726263437330722,1.9491498470306396,0.292454332113266,1.339565634727478,20.0,1.339565634727478,1.0,3.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁Na,1,source,full,ADP,case,8.990593910217285,2.8277148821322156,1.8077257871627808,0.421938419342041,0.957237958908081,1.4002366096121321,0.9572378993034363,0.9999998807907104,2.0,11.7037935256958,7.409200308651085,2.098337173461914,0.2509157657623291,1.4706532955169678,20.0,1.4706531763076782,1.0,3.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁pod,2,source,full,NOUN,obl,7.924020290374756,3.3884913185123384,1.371558666229248,0.5375493168830872,0.38907769322395325,3.711795722767129,0.38907769322395325,1.0,2.0,7.971562385559082,9.988712335935466,0.982756495475769,0.5433940887451172,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,w,3,source,full,NOUN,obl,4.553006172180176,0.5749748206808195,0.7397638559341431,0.7595760822296143,-0.0,-0.0,-0.0,1.0,1.0,11.432501792907715,8.320447847435737,1.3870278596878052,0.3491896986961365,0.9378986954689026,20.0,0.9378986358642578,0.9999999403953552,2.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,ór,4,source,full,NOUN,obl,0.13062115013599396,0.008163421487383919,0.008086838759481907,0.9949246048927307,-0.0,-0.0,-0.0,1.0,1.0,14.246152877807617,10.281000533398048,2.1462559700012207,0.12906871736049652,1.5570173263549805,20.0,1.55701744556427,1.0,5.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,zu,5,source,full,NOUN,obl,2.3892934322357178,0.33497794886197135,0.6970849633216858,0.8904778361320496,-0.0,-0.0,-0.0,1.0,1.0,14.409830093383789,13.490569768422766,2.151650905609131,0.0751320943236351,1.621302843093872,20.0,1.5914859771728516,0.9963809251785278,7.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁ba,6,source,full,VERB,ROOT,2.8377151489257812,0.3564878165373787,0.5673883557319641,0.8539175391197205,-0.0,-0.0,-0.0,1.0,1.0,8.183095932006836,1.3924991177670007,1.1734117269515991,0.49112093448638916,-0.0,-0.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,wił,7,source,full,VERB,ROOT,5.562892913818359,1.9108560268930492,1.9851303100585938,0.7309436798095703,1.1588778495788574,1.0394278557715952,1.1588777303695679,0.9999999403953552,4.0,7.2253289222717285,16.504622769528215,1.370119333267212,0.5829898715019226,0.1896013468503952,20.0,0.18960151076316833,1.0000001192092896,2.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁się,8,source,full,PRON,expl:pv,3.6559672355651855,0.4648062724829578,0.7256444692611694,0.8202283382415771,-0.0,-0.0,-0.0,1.0,1.0,7.913373947143555,2.025851088016431,1.6334608793258667,0.5559743642807007,0.998534083366394,0.9363975514699959,0.998534083366394,1.0,2.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁pi,9,source,full,NOUN,iobj,1.1295015811920166,0.09295403216595192,0.1054198369383812,0.947874128818512,-0.0,-0.0,-0.0,1.0,1.0,8.86906909942627,1.6037042286928804,1.2951555252075195,0.4396936297416687,-0.0,-0.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,ł,10,source,full,NOUN,iobj,2.7175891399383545,0.2336040395234601,0.21904610097408295,0.8739898204803467,-0.0,-0.0,-0.0,1.0,1.0,9.856010437011719,1.867250521394745,1.5473946332931519,0.4830107092857361,0.8384612798690796,0.44922327618753394,0.8384614586830139,1.000000238418579,3.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,ką,11,source,full,NOUN,iobj,1.5444079637527466,0.2321702618184394,0.6100339889526367,0.9466900825500488,-0.0,-0.0,-0.0,1.0,1.0,12.488147735595703,11.811505927951586,1.921933889389038,0.2648155391216278,0.9843706488609314,20.0,0.9843705892562866,0.9999999403953552,3.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁chłop,12,source,full,NOUN,nsubj,1.2414368391036987,0.12812558665991733,0.27559584379196167,0.9488559365272522,-0.0,-0.0,-0.0,1.0,1.0,4.584956169128418,11.607770503983426,0.6708081364631653,0.7710558176040649,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
