sentence,token,position,token_type,analysis_type,pos,dep,manual_autoregressive_seq2seq_source_entropy_bits,manual_autoregressive_seq2seq_source_surprisal_bits,manual_autoregressive_seq2seq_source_topk_entropy_k5_bits,manual_autoregressive_seq2seq_source_topk_mass_k5,manual_autoregressive_seq2seq_source_entmax_entropy_bits,manual_autoregressive_seq2seq_source_entmax_surprisal_bits,manual_autoregressive_seq2seq_source_entmax_topk_entropy_k5_bits,manual_autoregressive_seq2seq_source_entmax_topk_mass_k5,manual_autoregressive_seq2seq_source_entmax_branching_choices,manual_autoregressive_conditional_source_entropy_bits,manual_autoregressive_conditional_source_surprisal_bits,manual_autoregressive_conditional_source_topk_entropy_k5_bits,manual_autoregressive_conditional_source_topk_mass_k5,manual_autoregressive_conditional_source_entmax_entropy_bits,manual_autoregressive_conditional_source_entmax_surprisal_bits,manual_autoregressive_conditional_source_entmax_topk_entropy_k5_bits,manual_autoregressive_conditional_source_entmax_topk_mass_k5,manual_autoregressive_conditional_source_entmax_branching_choices,manual_bigram_decoder_source_entropy_bits,manual_bigram_decoder_source_surprisal_bits,manual_bigram_decoder_source_topk_entropy_k5_bits,manual_bigram_decoder_source_topk_mass_k5,manual_bigram_decoder_source_entmax_entropy_bits,manual_bigram_decoder_source_entmax_surprisal_bits,manual_bigram_decoder_source_entmax_topk_entropy_k5_bits,manual_bigram_decoder_source_entmax_topk_mass_k5,manual_bigram_decoder_source_entmax_branching_choices,candidate_idx,target_sentence,manual_autoregressive_seq2seq_target_entropy_bits,manual_autoregressive_seq2seq_target_surprisal_bits,manual_autoregressive_seq2seq_target_topk_entropy_k5_bits,manual_autoregressive_seq2seq_target_topk_mass_k5,manual_autoregressive_seq2seq_target_entmax_entropy_bits,manual_autoregressive_seq2seq_target_entmax_surprisal_bits,manual_autoregressive_seq2seq_target_entmax_topk_entropy_k5_bits,manual_autoregressive_seq2seq_target_entmax_topk_mass_k5,manual_autoregressive_seq2seq_target_entmax_branching_choices,manual_autoregressive_conditional_target_entropy_bits,manual_autoregressive_conditional_target_surprisal_bits,manual_autoregressive_conditional_target_topk_entropy_k5_bits,manual_autoregressive_conditional_target_topk_mass_k5,manual_autoregressive_conditional_target_entmax_entropy_bits,manual_autoregressive_conditional_target_entmax_surprisal_bits,manual_autoregressive_conditional_target_entmax_topk_entropy_k5_bits,manual_autoregressive_conditional_target_entmax_topk_mass_k5,manual_autoregressive_conditional_target_entmax_branching_choices,manual_bigram_decoder_target_entropy_bits,manual_bigram_decoder_target_surprisal_bits,manual_bigram_decoder_target_topk_entropy_k5_bits,manual_bigram_decoder_target_topk_mass_k5,manual_bigram_decoder_target_entmax_entropy_bits,manual_bigram_decoder_target_entmax_surprisal_bits,manual_bigram_decoder_target_entmax_topk_entropy_k5_bits,manual_bigram_decoder_target_entmax_topk_mass_k5,manual_bigram_decoder_target_entmax_branching_choices
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,pl_PL,0,source,manual_autoregressive,SPECIAL,SPECIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁Na,1,source,manual_autoregressive,ADP,case,10.95953369140625,12.06067143276541,0.12186691164970398,0.3839711844921112,-0.0,20.0,-0.0,1.0,1.0,5.360540390014648,10.620856597922392,1.3630000352859497,0.6240032315254211,0.0009465639595873654,20.0,0.0009465639595873654,1.0,2.0,5.360540390014648,10.620856597922392,1.3630000352859497,0.6240032315254211,0.0009465639595873654,20.0,0.0009465639595873654,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁pod,2,source,manual_autoregressive,NOUN,obl,11.812676429748535,12.796019095005946,2.162292957305908,0.23926040530204773,1.575383186340332,20.0,1.575383186340332,1.000000238418579,5.0,11.945901870727539,12.69344748331834,2.0238704681396484,0.2045336812734604,1.1996668577194214,20.0,1.1109281778335571,0.9863923788070679,6.0,0.2792358994483948,30.99010152100053,0.022265160456299782,0.9890884757041931,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,w,3,source,manual_autoregressive,NOUN,obl,2.170285224914551,18.774495398447318,1.173410177230835,0.9413903951644897,0.8360116481781006,20.0,0.8360116481781006,1.0,2.0,5.242000102996826,15.325612450245954,1.196122646331787,0.7435550093650818,0.1413266360759735,20.0,0.14132648706436157,0.9999999403953552,2.0,0.12847378849983215,24.139085427214606,0.02106531150639057,0.9950857758522034,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,ór,4,source,manual_autoregressive,NOUN,obl,1.704908013343811,20.47734137019959,0.4581845998764038,0.9379862546920776,-0.0,20.0,-0.0,1.0,1.0,1.4551548957824707,23.06427974335756,0.37295883893966675,0.9328651428222656,-0.0,20.0,-0.0,1.0,1.0,0.044423531740903854,31.39827182319208,0.04103358834981918,0.9998496174812317,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,zu,5,source,manual_autoregressive,NOUN,obl,13.944404602050781,12.311337651763688,1.9875718355178833,0.18897363543510437,1.241940975189209,20.0,1.241940975189209,0.9999999403953552,4.0,8.887748718261719,14.813936856006304,1.9295334815979004,0.540826141834259,1.5489976406097412,20.0,1.5489976406097412,0.9999999403953552,3.0,7.286769866943359,21.25734198384458,1.1084589958190918,0.5451380014419556,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁ba,6,source,manual_autoregressive,VERB,ROOT,13.826818466186523,17.693870010351826,1.756791591644287,0.17013230919837952,0.42850345373153687,20.0,0.4285036027431488,1.0000001192092896,4.0,12.774250030517578,17.46434432761625,1.8120779991149902,0.20175223052501678,0.6124258041381836,20.0,0.6124259233474731,1.0000001192092896,2.0,2.586896334833e-05,49.21150787071351,1.7659462173469365e-05,0.9999998211860657,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,wił,7,source,manual_autoregressive,VERB,ROOT,11.637249946594238,21.981694023064144,2.2694802284240723,0.21398407220840454,2.055777072906494,20.0,2.055777072906494,0.9999998807907104,5.0,9.332023620605469,24.720277069809768,1.5010474920272827,0.43214622139930725,0.26237085461616516,20.0,0.26237085461616516,1.0,2.0,0.012105485424399376,39.14439655331183,0.011533341370522976,0.9999822378158569,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁się,8,source,manual_autoregressive,PRON,expl:pv,9.527792930603027,12.668421766265107,1.8679059743881226,0.48117339611053467,1.3055527210235596,20.0,1.3055527210235596,1.0,3.0,11.350374221801758,13.66747782982354,1.6294751167297363,0.3588270843029022,0.27682480216026306,20.0,0.27682480216026306,1.0,2.0,13.844451904296875,16.77977048057947,2.2744202613830566,0.10334480553865433,2.078364610671997,20.0,2.078364849090576,0.9999997615814209,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁pi,9,source,manual_autoregressive,NOUN,iobj,8.621212005615234,13.900107747294266,0.3196631073951721,0.5282116532325745,-0.0,20.0,-0.0,1.0,1.0,7.492061614990234,10.448057686800869,0.8452829718589783,0.5828802585601807,-0.0,20.0,-0.0,1.0,1.0,5.905755043029785,15.271108669935895,1.057159185409546,0.6628803610801697,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
