sentence,token,position,token_type,analysis_type,pos,dep,conditional_source_entropy_bits,conditional_source_surprisal_bits,conditional_source_topk_entropy_k5_bits,conditional_source_topk_mass_k5,conditional_source_entmax_entropy_bits,conditional_source_entmax_surprisal_bits,conditional_source_entmax_topk_entropy_k5_bits,conditional_source_entmax_topk_mass_k5,conditional_source_entmax_branching_choices,conditional_bigram_source_entropy_bits,conditional_bigram_source_surprisal_bits,conditional_bigram_source_topk_entropy_k5_bits,conditional_bigram_source_topk_mass_k5,conditional_bigram_source_entmax_entropy_bits,conditional_bigram_source_entmax_surprisal_bits,conditional_bigram_source_entmax_topk_entropy_k5_bits,conditional_bigram_source_entmax_topk_mass_k5,conditional_bigram_source_entmax_branching_choices,candidate_idx,target_sentence,conditional_target_entropy_bits,conditional_target_surprisal_bits,conditional_target_topk_entropy_k5_bits,conditional_target_topk_mass_k5,conditional_target_entmax_entropy_bits,conditional_target_entmax_surprisal_bits,conditional_target_entmax_topk_entropy_k5_bits,conditional_target_entmax_topk_mass_k5,conditional_target_entmax_branching_choices,conditional_bigram_target_entropy_bits,conditional_bigram_target_surprisal_bits,conditional_bigram_target_topk_entropy_k5_bits,conditional_bigram_target_topk_mass_k5,conditional_bigram_target_entmax_entropy_bits,conditional_bigram_target_entmax_surprisal_bits,conditional_bigram_target_entmax_topk_entropy_k5_bits,conditional_bigram_target_entmax_topk_mass_k5,conditional_bigram_target_entmax_branching_choices
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,pl_PL,0,source,conditional,SPECIAL,SPECIAL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁Na,1,source,conditional,ADP,case,10.95953369140625,12.06067143276541,0.12186691164970398,0.3839711844921112,-0.0,20.0,-0.0,1.0,1.0,11.7037935256958,7.409200308651085,2.098337173461914,0.2509157657623291,1.4706532955169678,20.0,1.4706531763076782,1.0,3.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁pod,2,source,conditional,NOUN,obl,11.812676429748535,12.796019095005946,2.162292957305908,0.23926040530204773,1.575383186340332,20.0,1.575383186340332,1.000000238418579,5.0,7.971562385559082,9.988712335935466,0.982756495475769,0.5433940887451172,-0.0,20.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,w,3,source,conditional,NOUN,obl,2.170285224914551,18.774495398447318,1.173410177230835,0.9413903951644897,0.8360116481781006,20.0,0.8360116481781006,1.0,2.0,11.432501792907715,8.320447847435737,1.3870278596878052,0.3491896986961365,0.9378986954689026,20.0,0.9378986358642578,0.9999999403953552,2.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,ór,4,source,conditional,NOUN,obl,1.704908013343811,20.47734137019959,0.4581845998764038,0.9379862546920776,-0.0,20.0,-0.0,1.0,1.0,14.246152877807617,10.281000533398048,2.1462559700012207,0.12906871736049652,1.5570173263549805,20.0,1.55701744556427,1.0,5.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,zu,5,source,conditional,NOUN,obl,13.944404602050781,12.311337651763688,1.9875718355178833,0.18897363543510437,1.241940975189209,20.0,1.241940975189209,0.9999999403953552,4.0,14.409830093383789,13.490569768422766,2.151650905609131,0.0751320943236351,1.621302843093872,20.0,1.5914859771728516,0.9963809251785278,7.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁ba,6,source,conditional,VERB,ROOT,13.826818466186523,17.693870010351826,1.756791591644287,0.17013230919837952,0.42850345373153687,20.0,0.4285036027431488,1.0000001192092896,4.0,8.183095932006836,1.3924991177670007,1.1734117269515991,0.49112093448638916,-0.0,-0.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,wił,7,source,conditional,VERB,ROOT,11.637249946594238,21.981694023064144,2.2694802284240723,0.21398407220840454,2.055777072906494,20.0,2.055777072906494,0.9999998807907104,5.0,7.2253289222717285,16.504622769528215,1.370119333267212,0.5829898715019226,0.1896013468503952,20.0,0.18960151076316833,1.0000001192092896,2.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁się,8,source,conditional,PRON,expl:pv,9.527792930603027,12.668421766265107,1.8679059743881226,0.48117339611053467,1.3055527210235596,20.0,1.3055527210235596,1.0,3.0,7.913373947143555,2.025851088016431,1.6334608793258667,0.5559743642807007,0.998534083366394,0.9363975514699959,0.998534083366394,1.0,2.0,,,,,,,,,,,,,,,,,,,,
Na podwórzu bawił się piłką chłopiec. Chłopiec dał piłkę kotu.,▁pi,9,source,conditional,NOUN,iobj,8.621212005615234,13.900107747294266,0.3196631073951721,0.5282116532325745,-0.0,20.0,-0.0,1.0,1.0,8.86906909942627,1.6037042286928804,1.2951555252075195,0.4396936297416687,-0.0,-0.0,-0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,
